first_day_in_week,last_day_in_week,mean,days_in_week
2019-09-08,2019-09-14,0.08000030517578124,5
2019-09-15,2019-09-21,-0.19999980926513672,4
2019-09-22,2019-09-28,-0.0599998474121108,5
2019-09-29,2019-10-05,0.0,2
2019-10-06,2019-10-12,-0.16666666666666666,3
2019-10-13,2019-10-19,-0.3333333333333333,3
2019-10-20,2019-10-26,0.43333307902018464,3
2019-10-27,2019-11-02,-0.38000030517578126,5
2019-11-03,2019-11-09,-1.0799995422363295,5
2019-11-10,2019-11-16,0.3199996948242202,5
2019-11-17,2019-11-23,0.21999969482421874,5
2019-11-24,2019-11-30,-0.13999938964843892,5
2019-12-01,2019-12-07,0.0599998474121108,5
2019-12-08,2019-12-14,0.17999954223632814,5
2019-12-15,2019-12-21,0.4400001525878906,5
2019-12-22,2019-12-28,-0.4,5
2019-12-29,2020-01-04,0.8400001525878906,5
2020-01-05,2020-01-11,1.1,5
2020-01-12,2020-01-18,0.2,5
2020-01-19,2020-01-25,0.01999969482421875,5
2020-01-26,2020-02-01,-0.9,5
2020-02-02,2020-02-08,-0.1,5
2020-02-09,2020-02-15,0.38000030517578126,5
2020-02-16,2020-02-22,-0.24000015258789062,5
2020-02-23,2020-02-29,0.04000015258789062,5
2020-03-01,2020-03-07,-0.375,4
2020-03-08,2020-03-14,-1.625,4
2020-03-15,2020-03-21,-1.1,5
2020-03-22,2020-03-28,1.2,5
2020-03-29,2020-04-04,-0.5199996948242201,5
2020-04-05,2020-04-11,0.36666615804036695,3
2020-04-12,2020-04-18,-0.46666717529296875,3
2020-04-19,2020-04-25,-0.01999969482421875,5
2020-04-26,2020-05-02,-0.1333338419596354,3
2020-05-03,2020-05-09,0.4400001525878906,5
2020-05-10,2020-05-16,0.0,5
2020-05-17,2020-05-23,-0.1,5
2020-05-24,2020-05-30,-0.39999961853027344,4
2020-05-31,2020-06-06,-0.04000015258789062,5
2020-06-07,2020-06-13,0.0,4
2020-06-14,2020-06-20,-0.01999969482422017,5
2020-06-21,2020-06-27,-0.16000061035156107,5
2020-06-28,2020-07-04,0.14000015258789061,5
2020-07-05,2020-07-11,0.0,5
2020-07-12,2020-07-18,1.5800003051757812,5
2020-07-19,2020-07-25,-0.24000015258789062,5
2020-07-26,2020-08-01,0.75,4
2020-08-02,2020-08-08,-0.14000015258789061,5
2020-08-09,2020-08-15,-0.8599998474121093,5
2020-08-16,2020-08-22,-0.8199996948242202,5
2020-08-23,2020-08-29,-1.4200004577636705,5
2020-08-30,2020-09-05,0.059999847412109376,5
