first_day_in_week,last_day_in_week,MTRX_main_symb_weekly_mean_diff,TUZA.TA_weekly_mean_diff_0.54
2019-03-10,2019-03-16,-16.4,0.3599998474121094
2019-03-17,2019-03-23,10.8,0.3599998474121094
2019-03-24,2019-03-30,43.2,0.04000015258789062
2019-03-31,2019-04-06,60.0,0.0
2019-04-07,2019-04-13,-24.0,-0.14000015258789061
2019-04-14,2019-04-20,-1.0,-0.01999969482421875
2019-04-21,2019-04-27,-46.0,-0.4
2019-04-28,2019-05-04,14.6,-0.3
2019-05-05,2019-05-11,24.4,0.0
2019-05-12,2019-05-18,48.0,0.3400001525878906
2019-05-19,2019-05-25,38.6,-0.020000457763671875
2019-05-26,2019-06-01,-24.6,-0.3
2019-06-02,2019-06-08,-7.0,-0.41999969482421873
2019-06-09,2019-06-15,-27.8,0.15999984741210938
2019-06-16,2019-06-22,15.8,-0.04000015258789062
2019-06-23,2019-06-29,92.6,-0.2799995422363281
2019-06-30,2019-07-06,-2.6,0.1
2019-07-07,2019-07-13,-30.4,-0.24000015258789062
2019-07-14,2019-07-20,7.4,-0.24000015258789062
2019-07-21,2019-07-27,15.0,0.5400001525878906
2019-07-28,2019-08-03,-14.0,-0.5
2019-08-04,2019-08-10,-12.0,1.18000030517578
2019-08-11,2019-08-17,57.2,-0.020000457763670453
2019-08-18,2019-08-24,-25.0,-0.3
2019-08-25,2019-08-31,-8.8,-0.059999847412109376
2019-09-01,2019-09-07,-31.6,-0.8599998474121093
2019-09-08,2019-09-14,66.5,0.45999984741210936
2019-09-15,2019-09-21,56.4,-0.05000019073486328
2019-09-22,2019-09-28,23.0,-0.17999954223632814
2019-09-29,2019-10-05,34.666666666666664,-0.20000076293945312
2019-10-06,2019-10-12,32.666666666666664,0.599999745686849
2019-10-13,2019-10-19,58.0,-0.09999974568684895
2019-10-20,2019-10-26,26.2,-0.5333328247070312
2019-10-27,2019-11-02,-77.8,-0.020000457763671875
2019-11-03,2019-11-09,117.6,0.3599998474121094
2019-11-10,2019-11-16,45.2,0.0
2019-11-17,2019-11-23,-104.2,-0.4799995422363281
2019-11-24,2019-11-30,43.8,-0.12000045776367188
2019-12-01,2019-12-07,49.4,0.1
2019-12-08,2019-12-14,-26.0,0.5
2019-12-15,2019-12-21,29.0,-0.2799995422363281
2019-12-22,2019-12-28,77.2,-0.28000030517578123
2019-12-29,2020-01-04,-11.0,0.14000015258789061
2020-01-05,2020-01-11,106.6,0.5199996948242187
2020-01-12,2020-01-18,3.4,0.38000030517578126
2020-01-19,2020-01-25,-101.2,-0.6199996948242188
2020-01-26,2020-02-01,-70.4,-0.32000045776367186
2020-02-02,2020-02-08,-1.0,-0.5799995422363281
2020-02-09,2020-02-15,18.4,0.1
2020-02-16,2020-02-22,-108.0,-0.3600006103515625
2020-02-23,2020-02-29,-163.25,0.24000015258789062
2020-03-01,2020-03-07,-328.0,-1.175000190734865
2020-03-08,2020-03-14,127.0,0.10000038146972834
2020-03-15,2020-03-21,95.6,-0.41999969482421873
2020-03-22,2020-03-28,77.4,1.1399993896484375
2020-03-29,2020-04-04,93.0,-0.21999969482421874
2020-04-05,2020-04-11,2.6666666666666665,-0.7666664123535156
2020-04-12,2020-04-18,86.8,0.5333328247070312
2020-04-19,2020-04-25,33.0,0.4400001525878906
2020-04-26,2020-05-02,-77.0,0.3333333333333333
2020-05-03,2020-05-09,-20.2,-0.04000015258789062
2020-05-10,2020-05-16,128.2,1.1599998474121094
2020-05-17,2020-05-23,208.5,2.8400001525878906
2020-05-24,2020-05-30,-36.8,-0.25
2020-05-31,2020-06-06,59.5,-0.27999954223632956
2020-06-07,2020-06-13,50.0,0.34999942779541193
2020-06-14,2020-06-20,-103.0,0.04000015258789062
2020-06-21,2020-06-27,-2.6,0.5800003051757798
2020-06-28,2020-07-04,20.0,-0.24000043869018411
2020-07-05,2020-07-11,42.0,0.34000043869018415
2020-07-12,2020-07-18,58.0,0.23999938964843892
2020-07-19,2020-07-25,157.75,1.7400009155273437
2020-07-26,2020-08-01,,0.0
